country,ChatGPT,Google Gemini,Khanmigo,Microsoft Copilot
Australia,0.26515151515151514,0.22727272727272727,0.29545454545454547,0.21212121212121213
Brazil,0.2727272727272727,0.24242424242424243,0.23484848484848486,0.25
Canada,0.2196969696969697,0.25757575757575757,0.2727272727272727,0.25
China,0.25,0.25,0.24242424242424243,0.25757575757575757
Germany,0.3181818181818182,0.26515151515151514,0.15151515151515152,0.26515151515151514
India,0.29545454545454547,0.21212121212121213,0.1893939393939394,0.30303030303030304
Nigeria,0.2196969696969697,0.24242424242424243,0.24242424242424243,0.29545454545454547
Pakistan,0.2727272727272727,0.22727272727272727,0.2727272727272727,0.22727272727272727
UK,0.25757575757575757,0.26515151515151514,0.26515151515151514,0.21212121212121213
US,0.25757575757575757,0.26515151515151514,0.25,0.22727272727272727
