year,ChatGPT,Google Gemini,Khanmigo,Microsoft Copilot
2015,0.21666666666666667,0.275,0.21666666666666667,0.2916666666666667
2016,0.3333333333333333,0.23333333333333334,0.23333333333333334,0.2
2017,0.2916666666666667,0.19166666666666668,0.26666666666666666,0.25
2018,0.24166666666666667,0.21666666666666667,0.275,0.26666666666666666
2019,0.23333333333333334,0.20833333333333334,0.325,0.23333333333333334
2020,0.25,0.23333333333333334,0.25,0.26666666666666666
2021,0.20833333333333334,0.2833333333333333,0.21666666666666667,0.2916666666666667
2022,0.25833333333333336,0.2833333333333333,0.21666666666666667,0.24166666666666667
2023,0.25833333333333336,0.2833333333333333,0.23333333333333334,0.225
2024,0.31666666666666665,0.23333333333333334,0.20833333333333334,0.24166666666666667
2025,0.2833333333333333,0.25833333333333336,0.21666666666666667,0.24166666666666667
