year,urban_ai_usage_pct,rural_ai_usage_pct,student_ai_usage_pct,teacher_ai_usage_pct,schools_ai_adoption_pct,gender_gap_ai_usage_pct
2015,7.833333333333333,0.15833333333333333,4.983333333333333,4.041666666666667,3.375,5.208333333333333
2016,13.033333333333333,2.1333333333333333,10.408333333333333,9.225,8.633333333333333,5.458333333333333
2017,18.075,5.291666666666667,15.4,14.008333333333333,13.466666666666667,5.108333333333333
2018,21.741666666666667,9.058333333333334,19.316666666666666,19.458333333333332,18.358333333333334,5.391666666666667
2019,28.15,15.225,25.466666666666665,23.741666666666667,23.633333333333333,5.908333333333333
2020,32.38333333333333,20.1,30.033333333333335,29.325,28.45,5.341666666666667
2021,37.625,25.058333333333334,35.3,34.25833333333333,33.516666666666666,5.191666666666666
2022,42.5,29.608333333333334,39.95,38.583333333333336,38.475,5.758333333333334
2023,47.458333333333336,35.69166666666667,44.84166666666667,44.108333333333334,43.541666666666664,5.591666666666667
2024,52.483333333333334,40.0,49.9,49.083333333333336,48.68333333333333,5.641666666666667
2025,57.9,45.625,55.333333333333336,53.45,53.425,5.05
