year,month,country,student_ai_usage_pct,teacher_ai_usage_pct,schools_ai_adoption_pct,avg_daily_ai_usage_min,top_ai_tool,internet_penetration_pct,education_index,government_ai_policy,urban_ai_usage_pct,rural_ai_usage_pct,ai_in_curriculum,gender_gap_ai_usage_pct
2015,January,US,1,2,1,19,Google Gemini,90,0.9,Unknown,1,0,Yes,6
2015,January,UK,4,1,5,11,Google Gemini,92,0.91,Draft,7,0,Yes,5
2015,January,China,6,5,4,7,ChatGPT,70,0.75,Active,8,1,No,7
2015,January,India,7,5,0,59,Microsoft Copilot,50,0.64,Unknown,10,0,Yes,7
2015,January,Germany,9,7,6,29,Khanmigo,93,0.94,Active,13,0,Yes,1
2015,January,Brazil,0,7,6,44,ChatGPT,75,0.7,Draft,4,0,No,10
2015,January,Pakistan,3,8,7,46,Microsoft Copilot,45,0.55,Active,7,0,No,3
2015,January,Nigeria,6,1,2,37,Microsoft Copilot,42,0.52,Active,11,0,Yes,5
2015,January,Canada,3,1,3,29,Microsoft Copilot,94,0.92,Draft,6,0,No,5
2015,January,Australia,0,1,6,37,ChatGPT,96,0.93,Unknown,4,0,Yes,5
2015,February,US,10,8,0,20,Google Gemini,90,0.9,Draft,13,0,Yes,4
2015,February,UK,8,1,3,31,Khanmigo,92,0.91,Draft,10,0,No,3
2015,February,China,8,7,7,33,Khanmigo,70,0.75,Unknown,11,0,Yes,10
2015,February,India,7,6,5,40,Microsoft Copilot,50,0.64,Draft,8,0,No,5
2015,February,Germany,1,6,7,58,Google Gemini,93,0.94,Unknown,1,0,Yes,9
2015,February,Brazil,5,8,1,8,Khanmigo,75,0.7,Active,8,0,Yes,1
2015,February,Pakistan,9,8,2,59,ChatGPT,45,0.55,Active,14,0,Yes,8
2015,February,Nigeria,6,1,5,13,Khanmigo,42,0.52,Draft,10,0,No,3
2015,February,Canada,5,2,6,56,Google Gemini,94,0.92,Unknown,8,0,Yes,9
2015,February,Australia,1,5,5,7,ChatGPT,96,0.93,Active,5,0,No,7
2015,March,US,1,6,6,5,ChatGPT,90,0.9,Active,3,0,Yes,6
2015,March,UK,2,2,0,5,ChatGPT,92,0.91,Active,3,0,Yes,2
2015,March,China,7,4,2,8,Microsoft Copilot,70,0.75,Unknown,7,1,Yes,6
2015,March,India,6,8,0,5,Microsoft Copilot,50,0.64,Unknown,7,0,Yes,8
2015,March,Germany,2,7,3,40,Microsoft Copilot,93,0.94,Unknown,2,0,No,6
2015,March,Brazil,8,6,1,48,ChatGPT,75,0.7,Active,12,0,No,2
2015,March,Pakistan,2,1,5,30,Google Gemini,45,0.55,Active,5,0,Yes,2
2015,March,Nigeria,6,8,1,47,Microsoft Copilot,42,0.52,Active,11,0,No,1
2015,March,Canada,3,5,5,58,Khanmigo,94,0.92,Draft,5,0,No,2
2015,March,Australia,2,0,5,44,Google Gemini,96,0.93,Draft,6,0,No,9
2015,April,US,7,0,6,44,ChatGPT,90,0.9,Active,12,0,No,8
2015,April,UK,1,4,5,48,Khanmigo,92,0.91,Unknown,6,0,Yes,5
2015,April,China,4,0,6,44,Google Gemini,70,0.75,Active,8,0,No,3
2015,April,India,0,4,1,42,Google Gemini,50,0.64,Unknown,2,0,No,10
2015,April,Germany,7,7,5,59,Microsoft Copilot,93,0.94,Unknown,9,0,Yes,9
2015,April,Brazil,2,8,3,46,Google Gemini,75,0.7,Active,7,0,Yes,6
2015,April,Pakistan,3,4,7,40,ChatGPT,45,0.55,Active,7,0,No,1
2015,April,Nigeria,0,0,6,49,ChatGPT,42,0.52,Unknown,4,0,No,5
2015,April,Canada,8,5,3,22,Microsoft Copilot,94,0.92,Unknown,10,0,No,3
2015,April,Australia,8,7,5,45,Google Gemini,96,0.93,Unknown,9,0,Yes,7
2015,May,US,9,2,3,12,Microsoft Copilot,90,0.9,Active,10,0,Yes,1
2015,May,UK,2,4,5,37,Microsoft Copilot,92,0.91,Active,4,0,No,1
2015,May,China,6,5,0,58,Microsoft Copilot,70,0.75,Unknown,9,0,No,2
2015,May,India,3,7,3,53,Microsoft Copilot,50,0.64,Active,5,0,No,10
2015,May,Germany,1,2,4,60,Khanmigo,93,0.94,Draft,6,0,No,7
2015,May,Brazil,6,2,0,51,Microsoft Copilot,75,0.7,Active,11,0,Yes,7
2015,May,Pakistan,7,8,6,32,ChatGPT,45,0.55,Active,10,0,No,3
2015,May,Nigeria,8,3,7,11,Microsoft Copilot,42,0.52,Unknown,10,0,No,3
2015,May,Canada,4,1,5,49,Microsoft Copilot,94,0.92,Active,7,0,No,8
2015,May,Australia,6,8,2,42,Google Gemini,96,0.93,Unknown,8,0,Yes,1
2015,June,US,9,0,1,10,Khanmigo,90,0.9,Draft,9,4,No,7
2015,June,UK,5,8,2,34,Khanmigo,92,0.91,Draft,9,0,No,2
2015,June,China,2,4,0,34,Google Gemini,70,0.75,Unknown,5,0,Yes,6
2015,June,India,3,5,6,11,Microsoft Copilot,50,0.64,Unknown,3,0,Yes,1
2015,June,Germany,2,3,1,27,ChatGPT,93,0.94,Draft,3,0,No,4
2015,June,Brazil,5,4,1,11,Microsoft Copilot,75,0.7,Active,8,0,No,4
2015,June,Pakistan,1,7,6,29,Khanmigo,45,0.55,Unknown,3,0,No,7
2015,June,Nigeria,1,6,2,50,Khanmigo,42,0.52,Active,1,0,Yes,3
2015,June,Canada,7,5,2,48,Google Gemini,94,0.92,Unknown,11,0,No,2
2015,June,Australia,2,6,1,59,Microsoft Copilot,96,0.93,Unknown,6,0,No,1
2015,July,US,2,0,2,37,Microsoft Copilot,90,0.9,Active,4,0,Yes,5
2015,July,UK,7,2,5,22,Khanmigo,92,0.91,Unknown,9,0,Yes,5
